run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time,number_of_doctors
14,4118,0.2137020406707431,10.01001514072059,0.40884957061131805,0.04365203390288294,10.211022240839831,2.0878998869594705,0,,5,5,5
0,3386,1.8154091987355634,9.801118145790557,0.5471396865729087,0.306249745332966,11.579729014639403,1.9476688050516902,4,8.570238947229882,6,6,3
1,3351,2.57101474213942,10.164911261022594,0.5630734266647779,0.4273546825847816,12.737737696270738,2.1165749625791173,0,,6,6,3
2,3392,2.565854596890068,10.056969072485026,0.5648453186369649,0.4329709184383065,12.621660771717155,2.127506874349196,0,,6,6,3
3,3324,3.182431058786985,10.144808918331615,0.5575693098804416,0.5247222638595207,13.330561081095972,2.197430193500843,0,,6,6,3
4,3359,1.8602220808655838,9.962983386158307,0.5534830297900826,0.30998862330500904,11.823205467023895,1.9704377126752541,0,,6,6,3
5,3433,2.0696487822986884,9.96126285872319,0.5652428627560186,0.3524357276602876,12.02766635975991,2.0481643159283447,0,,6,6,3
6,3354,2.5455315863806276,9.808468376004774,0.5442453004343821,0.4243580626479134,12.33844830040929,2.0570939639510573,0,,6,6,3
7,3259,2.3894182425832073,10.01222662955084,0.5393003965638457,0.38626557800489447,12.397923461976438,2.004166767696432,0,,6,6,3
8,3327,1.93436040375154,9.995376152450369,0.549844848862473,0.31922703686911574,11.929736556201908,1.9687615834565335,0,,6,6,3
9,3296,1.7858766687482543,10.031347269796251,0.5465946368455542,0.2919766617159844,11.810652668937905,1.9317605722526474,0,,6,6,3
10,3422,1.9716840451121467,10.142177799779846,0.5740951637983239,0.3354964206399254,12.10321296504771,2.0577819120348937,2,5.36137372588928,6,6,3
11,3255,2.0607238204161344,9.731447553935814,0.5242611634507878,0.3327210335046884,11.788722825792831,1.9055045238570503,0,,6,6,3
12,3378,2.4429159139406593,10.006912559825274,0.558873693098285,0.40933382724660455,12.448256451991341,2.085954906541462,0,,6,6,3
13,3364,2.482058572098965,9.958541053317132,0.5534568073775809,0.41416890062206935,12.442228190213267,2.0745393227548106,0,,6,6,3
14,3460,2.8672873792309344,10.182875396315662,0.5810772193928467,0.49465140240155714,13.030923288009602,2.237883060580095,6,11.426944091957315,6,6,3
0,3386,0.3715118831662059,9.80936344616892,0.4108960179981503,0.06343969690364787,10.144219976598457,1.707023768896249,3,7.373196275422136,7,6,4
1,3351,0.4703580890739843,10.164911261022594,0.4222728833674079,0.07818303355589888,10.635826545353368,1.7672745670255305,0,,7,6,4
2,3392,0.5289795848872368,10.056969072485026,0.4235787395410537,0.08940960129564544,10.582982683575047,1.78372455945986,0,,7,6,4
3,3324,0.7053903408704196,10.144808918331615,0.4181730685203914,0.11630543120303942,10.852774940152644,1.788997705284605,0,,7,6,4
4,3359,0.31993568046999576,9.962983386158307,0.4151074180190401,0.05330674358624582,10.28291906662831,1.713736415662406,0,,7,6,4
5,3433,0.35771360336386104,9.96126285872319,0.423932147067014,0.060914226207744795,10.315232365213506,1.756642814475801,0,,7,6,4
6,3354,0.45522688666385447,9.808468376004774,0.4079777037537437,0.0757356635848496,10.247520187420905,1.7076464785998244,0,,7,6,4
7,3259,0.4539161578669013,10.01222662955084,0.40447529742288424,0.0733786090519956,10.461827300499941,1.6912797987435324,0,,7,6,4
8,3327,0.38790483418812083,9.995376152450369,0.4123836366468547,0.06401584242777172,10.383280986638486,1.7135503890151904,0,,7,6,4
9,3296,0.33427919778960496,10.031347269796251,0.40994597763416557,0.05465199582909414,10.358173839466229,1.6944359063657568,0,,7,6,4
10,3422,0.3659914291067677,10.139872050211338,0.43076323852177445,0.062195013446613226,10.498727938782496,1.7852479675337114,0,,7,6,4
11,3255,0.4276489431493587,9.731447553935814,0.39319587258809086,0.06904748561265688,10.155146081630766,1.64183097596502,0,,7,6,4
12,3378,0.4563251257699273,10.006912559825274,0.41915526982371376,0.07646162077633008,10.46107739293279,1.753082700071185,0,,7,6,4
13,3364,0.5012885655835407,9.958541053317132,0.41509260553318567,0.08364755628090433,10.459690165245137,1.7440179784136467,0,,7,6,4
14,3460,0.5419053736138223,10.181039103155054,0.43609635257489193,0.09367588759468422,10.70170427261646,1.8380612978942519,2,7.298555976118223,7,6,4
0,3386,0.07813985062613718,9.806736727917837,0.3290249640173068,0.013294262019087365,9.854369170626086,1.6584190821056213,1,3.5089279353269376,8,6,5
1,3351,0.07978747979323479,10.164911261022594,0.3378183066939263,0.013262293888250487,10.245022689963763,1.7023538273578822,0,,8,6,5
2,3392,0.12607303508416579,10.056969072485026,0.33884463213491983,0.0213031099549043,10.179719474093778,1.7155262706295036,0,,8,6,5
3,3324,0.1672429662518161,10.144808918331615,0.33453845481631317,0.027575179554614915,10.314465619288297,1.7002674536361808,0,,8,6,5
4,3359,0.05438316494794422,9.962983386158307,0.3320859344152321,0.009061163247030985,10.017366551106255,1.6694908353231912,0,,8,6,5
5,3433,0.06570383554471906,9.96126285872319,0.3391457176536112,0.011188554931796655,10.02313751296318,1.7069171431998527,0,,8,6,5
6,3354,0.10779487066416592,9.808468376004774,0.3263582803239591,0.0179337299706157,9.899984553164133,1.6497251315904111,0,,8,6,5
7,3259,0.09854754104848246,10.01222662955084,0.32358023793830737,0.015930874815327595,10.106349607985749,1.6338320645068645,0,,8,6,5
8,3327,0.07079317705951277,9.995376152450369,0.3299069093174838,0.011682981154613045,10.066169329509878,1.6612175277420318,0,,8,6,5
9,3296,0.07964904607213731,10.031347269796251,0.3279567821073325,0.013021986897508163,10.103389085349418,1.6528058974341706,0,,8,6,5
10,3422,0.06443071756900824,10.139872050211338,0.3445837685748959,0.01093660295243781,10.197096595388054,1.7338554458269178,0,,8,6,5
11,3255,0.09390440880938115,9.731447553935814,0.31455669807047265,0.015161649339014665,9.821298982897938,1.587945139691378,0,,8,6,5
12,3378,0.09862626307523224,10.006912559825274,0.33532421585897104,0.016525769675998735,10.10327260815853,1.6931468489708534,0,,8,6,5
13,3364,0.11313304266391172,9.958541053317132,0.3320740844265485,0.018877954142926538,10.07118817800871,1.6792483762756691,0,,8,6,5
14,3460,0.1251213400887447,10.176421297168648,0.3490508989028685,0.02147419824935797,10.284104687037791,1.7667286927637003,0,,8,6,5
0,2886,1.120455037823494,9.710275244999464,0.4635377775670798,0.16039847416461328,10.827118707777533,1.5510118068658527,0,,9,7,3
1,2854,1.7769513895512306,10.123911853344625,0.47843710854806987,0.2515584953263498,11.901895358293094,1.6868698209705595,0,,9,7,3
2,2920,1.5986531032134579,10.050703301502347,0.48488625799399165,0.23155094550512387,11.644919829381992,1.686209719487099,0,,9,7,3
3,2822,2.2707213250886746,10.279073645447232,0.47962212016289624,0.317855931517869,12.549794970535862,1.7567222920065577,0,,9,7,3
4,2919,0.9723530291662327,9.8066598101482,0.4731329662666383,0.14078861568136078,10.768462293311588,1.5601875144812758,0,,9,7,3
5,2917,1.3447812307971745,10.184620538344346,0.49124549300381537,0.1945797048727856,11.529401769141536,1.668316183884232,0,,9,7,3
6,2915,1.369191616480567,9.720294030018987,0.4684712891995171,0.19797587113297882,11.091470951851292,1.60338973873153,0,,9,7,3
7,2762,1.4146866347146594,9.990698412334924,0.4562272058783354,0.19381768279176037,11.408343383655154,1.5624993004267667,0,,9,7,3
8,2885,1.3303664330017848,9.94031310808058,0.4741473936735653,0.1903822995639955,11.26433645936187,1.6128244805846914,0,,9,7,3
9,2845,1.0780531251562588,10.062145810498487,0.4727854881774828,0.15213596929908516,11.127381250257532,1.5704924338315336,0,,9,7,3
10,2991,1.2370784157216228,10.179431438382085,0.5021072507874017,0.1835169105485153,11.396986142333056,1.689838662910721,1,0.8364536504159332,9,7,3
11,2821,1.415232759041928,9.788954955468164,0.4579026701404283,0.19803430621315868,11.204187714510075,1.5717423166344435,0,,9,7,3
12,2858,1.4511207278968132,10.087126116627351,0.4766700800482963,0.20571939684172086,11.538246844524162,1.6357296369866097,0,,9,7,3
13,2874,1.359077474713143,9.863662180923985,0.46876209229066257,0.19374943761535582,11.225190748592798,1.6000357144873436,0,,9,7,3
14,2925,1.1374936680834866,10.037051790088036,0.4852743676889198,0.16503814380675588,11.168176671394777,1.6208612468735153,0,,9,7,3
0,2886,0.23049547877945592,9.710275244999464,0.34765333317530994,0.03299652538479711,9.936850670550118,1.4236098580860368,0,,10,7,4
1,2854,0.36133307677811916,10.123911853344625,0.3588278314110524,0.05115300600817223,10.485780859640988,1.4864643316523818,0,,10,7,4
2,2920,0.31695689432487834,10.050703301502347,0.36366469349549374,0.045908439058960554,10.362345144681974,1.5005672130409355,0,,10,7,4
3,2822,0.509903847015367,10.279073645447232,0.3597165901221722,0.07137642144232964,10.788977492462555,1.5102427819310185,0,,10,7,4
4,2919,0.14358334212076454,9.8066598101482,0.3548497246999788,0.020789671411235697,9.939124371993207,1.440188570211151,0,,10,7,4
5,2917,0.2595891647123239,10.184620538344346,0.36843411975286156,0.037560594913980595,10.444209703056686,1.5112970739254268,0,,10,7,4
6,2915,0.2353116690070309,9.720294030018987,0.3513534668996378,0.03402447991842734,9.957201889776702,1.4394383475169785,0,,10,7,4
7,2762,0.2454850369725174,9.990698412334924,0.3421704044087516,0.033632424212206996,10.238718315576998,1.4023140418472135,0,,10,7,4
8,2885,0.2592047338756256,9.94031310808058,0.355610545255174,0.03709353458487995,10.192803344944751,1.459535715605576,0,,10,7,4
9,2845,0.19857909616038036,10.062145810498487,0.35458911613311206,0.02802368693334733,10.247288526904287,1.4463801514657955,0,,10,7,4
10,2991,0.20821717677955295,10.176582895713942,0.3766564026111707,0.030891744828752128,10.368932053960883,1.5375173552734351,0,,10,7,4
11,2821,0.30541123460696024,9.788954955468164,0.34342700260532116,0.04273636373146006,10.094366190075107,1.4164443741527448,0,,10,7,4
12,2858,0.3027503994825469,10.087126116627351,0.3575025600362222,0.04291967468854757,10.389876516109895,1.4729299148334365,0,,10,7,4
13,2874,0.2775337292368096,9.863662180923985,0.3515715692179969,0.03956507628108089,10.14327055210864,1.4458513531530686,0,,10,7,4
14,2925,0.19537252573499223,10.037051790088036,0.36395577576668986,0.028346460207085925,10.2250882588796,1.4841695632738454,0,,10,7,4
0,2886,0.044524264170092566,9.710275244999464,0.278122666540248,0.006373860436254323,9.750814994514549,1.396987193137494,0,,11,7,5
1,2854,0.06811189729134229,10.123911853344625,0.2870622651288419,0.009642428316939032,10.192456903715554,1.4449537539611486,0,,11,7,5
2,2920,0.07513446801219151,10.050703301502347,0.290931754796395,0.010882571755734089,10.120356973046249,1.465541345737709,0,,11,7,5
3,2822,0.10930931263014469,10.279073645447232,0.28777327209773773,0.015301134932652198,10.388382958077333,1.454167495421341,0,,11,7,5
4,2919,0.025020497076523252,9.8066598101482,0.283879779759983,0.0036227594725382626,9.820480236002759,1.4230216582724533,0,,11,7,5
5,2917,0.036811100570571,10.184620538344346,0.29474729580228926,0.005326288708549385,10.221431638914934,1.4790627677199955,0,,11,7,5
6,2915,0.04604863725990087,9.720294030018987,0.2810827735197102,0.006658322302212849,9.767873908464798,1.412072189900764,0,,11,7,5
7,2762,0.04825235062114316,9.990698412334924,0.2737363235270013,0.006610763512678443,10.041414193989713,1.375292381147685,0,,11,7,5
8,2885,0.04741822061991008,9.94031310808058,0.28448843620413916,0.006785791988513918,9.980943396698308,1.4292279730092097,0,,11,7,5
